collected_at,movie_cd,movie_nm,found,reservation_rate,cum_audi
2026-08-02T07:19:36,20204641,비광,0,,
2026-08-02T07:19:36,20264918,싱 어게인,0,,
2026-08-02T07:19:36,20265146,옵세션,0,,
2026-08-02T07:19:36,20264915,딥 워터,0,,
2026-08-02T07:19:36,20265573,인 더 그레이,0,,
2026-08-02T07:19:36,20265423,더 드라마,0,,
2026-08-02T08:19:36,20204641,비광,0,,
2026-08-02T08:19:36,20264918,싱 어게인,0,,
2026-08-02T08:19:36,20265146,옵세션,0,,
2026-08-02T08:19:36,20264915,딥 워터,0,,
2026-08-02T08:19:36,20265573,인 더 그레이,0,,
2026-08-02T08:19:36,20265423,더 드라마,0,,
2026-08-02T09:19:36,20204641,비광,0,,
2026-08-02T09:19:36,20264918,싱 어게인,0,,
2026-08-02T09:19:36,20265146,옵세션,0,,
2026-08-02T09:19:36,20264915,딥 워터,0,,
2026-08-02T09:19:36,20265573,인 더 그레이,0,,
2026-08-02T09:19:36,20265423,더 드라마,0,,
2026-08-02T10:19:44,20204641,비광,0,,
2026-08-02T10:19:44,20264918,싱 어게인,0,,
2026-08-02T10:19:44,20265146,옵세션,0,,
2026-08-02T10:19:44,20264915,딥 워터,0,,
2026-08-02T10:19:44,20265573,인 더 그레이,0,,
2026-08-02T10:19:44,20265423,더 드라마,0,,
2026-08-02T11:19:36,20204641,비광,0,,
2026-08-02T11:19:36,20264918,싱 어게인,0,,
2026-08-02T11:19:36,20265146,옵세션,0,,
2026-08-02T11:19:36,20264915,딥 워터,0,,
2026-08-02T11:19:36,20265573,인 더 그레이,0,,
2026-08-02T11:19:36,20265423,더 드라마,0,,
2026-08-02T12:19:36,20204641,비광,0,,
2026-08-02T12:19:36,20264918,싱 어게인,0,,
2026-08-02T12:19:36,20265146,옵세션,0,,
2026-08-02T12:19:36,20264915,딥 워터,0,,
2026-08-02T12:19:36,20265573,인 더 그레이,0,,
2026-08-02T12:19:36,20265423,더 드라마,0,,
2026-08-02T13:19:36,20204641,비광,0,,
2026-08-02T13:19:36,20264918,싱 어게인,0,,
2026-08-02T13:19:36,20265146,옵세션,0,,
2026-08-02T13:19:36,20264915,딥 워터,0,,
2026-08-02T13:19:36,20265573,인 더 그레이,0,,
2026-08-02T13:19:36,20265423,더 드라마,0,,
2026-08-02T14:19:38,20204641,비광,0,,
2026-08-02T14:19:38,20264918,싱 어게인,0,,
2026-08-02T14:19:38,20265146,옵세션,0,,
2026-08-02T14:19:38,20264915,딥 워터,0,,
2026-08-02T14:19:38,20265573,인 더 그레이,0,,
2026-08-02T14:19:38,20265423,더 드라마,0,,
2026-08-02T15:19:37,20204641,비광,0,,
2026-08-02T15:19:37,20264918,싱 어게인,0,,
2026-08-02T15:19:37,20265146,옵세션,0,,
2026-08-02T15:19:37,20264915,딥 워터,0,,
2026-08-02T15:19:37,20265573,인 더 그레이,0,,
2026-08-02T15:19:37,20265423,더 드라마,0,,
2026-08-02T16:19:37,20204641,비광,0,,
2026-08-02T16:19:37,20264918,싱 어게인,0,,
2026-08-02T16:19:37,20265146,옵세션,0,,
2026-08-02T16:19:37,20264915,딥 워터,0,,
2026-08-02T16:19:37,20265573,인 더 그레이,0,,
2026-08-02T16:19:37,20265423,더 드라마,0,,
2026-08-02T17:19:36,20204641,비광,0,,
2026-08-02T17:19:36,20264918,싱 어게인,0,,
2026-08-02T17:19:36,20265146,옵세션,0,,
2026-08-02T17:19:36,20264915,딥 워터,0,,
2026-08-02T17:19:36,20265573,인 더 그레이,0,,
2026-08-02T17:19:36,20265423,더 드라마,0,,
2026-08-02T18:19:36,20204641,비광,0,,
2026-08-02T18:19:36,20264918,싱 어게인,0,,
2026-08-02T18:19:36,20265146,옵세션,0,,
2026-08-02T18:19:36,20264915,딥 워터,0,,
2026-08-02T18:19:36,20265573,인 더 그레이,0,,
2026-08-02T18:19:36,20265423,더 드라마,0,,
2026-08-02T19:19:36,20204641,비광,0,,
2026-08-02T19:19:36,20264918,싱 어게인,0,,
2026-08-02T19:19:36,20265146,옵세션,0,,
2026-08-02T19:19:36,20264915,딥 워터,0,,
2026-08-02T19:19:36,20265573,인 더 그레이,0,,
2026-08-02T19:19:36,20265423,더 드라마,0,,
2026-08-02T20:19:35,20204641,비광,0,,
2026-08-02T20:19:35,20264918,싱 어게인,0,,
2026-08-02T20:19:35,20265146,옵세션,0,,
2026-08-02T20:19:35,20264915,딥 워터,0,,
2026-08-02T20:19:35,20265573,인 더 그레이,0,,
2026-08-02T20:19:35,20265423,더 드라마,0,,
2026-08-02T21:19:35,20204641,비광,0,,
2026-08-02T21:19:35,20264918,싱 어게인,0,,
2026-08-02T21:19:35,20265146,옵세션,0,,
2026-08-02T21:19:35,20264915,딥 워터,0,,
2026-08-02T21:19:35,20265573,인 더 그레이,0,,
2026-08-02T21:19:35,20265423,더 드라마,0,,
2026-08-02T22:19:38,20204641,비광,0,,
2026-08-02T22:19:38,20264918,싱 어게인,0,,
2026-08-02T22:19:38,20265146,옵세션,0,,
2026-08-02T22:19:38,20264915,딥 워터,0,,
2026-08-02T22:19:38,20265573,인 더 그레이,0,,
2026-08-02T22:19:38,20265423,더 드라마,0,,
2026-08-02T23:19:45,20204641,비광,0,,
2026-08-02T23:19:45,20264918,싱 어게인,0,,
2026-08-02T23:19:45,20265146,옵세션,0,,
2026-08-02T23:19:45,20264915,딥 워터,0,,
2026-08-02T23:19:45,20265573,인 더 그레이,0,,
2026-08-02T23:19:45,20265423,더 드라마,0,,
2026-08-03T00:19:37,20204641,비광,0,,
2026-08-03T00:19:37,20264918,싱 어게인,0,,
2026-08-03T00:19:37,20265146,옵세션,0,,
2026-08-03T00:19:37,20264915,딥 워터,0,,
2026-08-03T00:19:37,20265573,인 더 그레이,0,,
2026-08-03T00:19:37,20265423,더 드라마,0,,
2026-08-03T01:19:35,20204641,비광,0,,
2026-08-03T01:19:35,20264918,싱 어게인,0,,
2026-08-03T01:19:35,20265146,옵세션,0,,
2026-08-03T01:19:35,20264915,딥 워터,0,,
2026-08-03T01:19:35,20265573,인 더 그레이,0,,
2026-08-03T01:19:35,20265423,더 드라마,0,,
2026-08-03T02:19:39,20204641,비광,0,,
2026-08-03T02:19:39,20264918,싱 어게인,0,,
2026-08-03T02:19:39,20265146,옵세션,0,,
2026-08-03T02:19:39,20264915,딥 워터,0,,
2026-08-03T02:19:39,20265573,인 더 그레이,0,,
2026-08-03T02:19:39,20265423,더 드라마,0,,
2026-08-03T03:19:36,20204641,비광,0,,
2026-08-03T03:19:36,20264918,싱 어게인,0,,
2026-08-03T03:19:36,20265146,옵세션,0,,
2026-08-03T03:19:36,20264915,딥 워터,0,,
2026-08-03T03:19:36,20265573,인 더 그레이,0,,
2026-08-03T03:19:36,20265423,더 드라마,0,,
2026-08-03T04:19:35,20204641,비광,0,,
2026-08-03T04:19:35,20264918,싱 어게인,0,,
2026-08-03T04:19:35,20265146,옵세션,0,,
2026-08-03T04:19:35,20264915,딥 워터,0,,
2026-08-03T04:19:35,20265573,인 더 그레이,0,,
2026-08-03T04:19:35,20265423,더 드라마,0,,
2026-08-03T05:19:35,20204641,비광,0,,
2026-08-03T05:19:35,20264918,싱 어게인,0,,
2026-08-03T05:19:35,20265146,옵세션,0,,
2026-08-03T05:19:35,20264915,딥 워터,0,,
2026-08-03T05:19:35,20265573,인 더 그레이,0,,
2026-08-03T05:19:35,20265423,더 드라마,0,,
2026-08-03T06:19:35,20204641,비광,0,,
2026-08-03T06:19:35,20264918,싱 어게인,0,,
2026-08-03T06:19:35,20265146,옵세션,0,,
2026-08-03T06:19:35,20264915,딥 워터,0,,
2026-08-03T06:19:35,20265573,인 더 그레이,0,,
2026-08-03T06:19:35,20265423,더 드라마,0,,
2026-08-03T07:19:35,20204641,비광,0,,
2026-08-03T07:19:35,20264918,싱 어게인,0,,
2026-08-03T07:19:35,20265146,옵세션,0,,
2026-08-03T07:19:35,20264915,딥 워터,0,,
2026-08-03T07:19:35,20265573,인 더 그레이,0,,
2026-08-03T07:19:35,20265423,더 드라마,0,,
2026-08-03T08:19:35,20204641,비광,0,,
2026-08-03T08:19:35,20264918,싱 어게인,0,,
2026-08-03T08:19:35,20265146,옵세션,0,,
2026-08-03T08:19:35,20264915,딥 워터,0,,
2026-08-03T08:19:35,20265573,인 더 그레이,0,,
2026-08-03T08:19:35,20265423,더 드라마,0,,
2026-08-03T09:19:36,20204641,비광,0,,
2026-08-03T09:19:36,20264918,싱 어게인,0,,
2026-08-03T09:19:36,20265146,옵세션,0,,
2026-08-03T09:19:36,20264915,딥 워터,0,,
2026-08-03T09:19:36,20265573,인 더 그레이,0,,
2026-08-03T09:19:36,20265423,더 드라마,0,,
2026-08-03T10:19:36,20204641,비광,0,,
2026-08-03T10:19:36,20264918,싱 어게인,0,,
2026-08-03T10:19:36,20265146,옵세션,0,,
2026-08-03T10:19:36,20264915,딥 워터,0,,
2026-08-03T10:19:36,20265573,인 더 그레이,0,,
2026-08-03T10:19:36,20265423,더 드라마,0,,
2026-08-03T11:19:37,20204641,비광,0,,
2026-08-03T11:19:37,20264918,싱 어게인,0,,
2026-08-03T11:19:37,20265146,옵세션,0,,
2026-08-03T11:19:37,20264915,딥 워터,0,,
2026-08-03T11:19:37,20265573,인 더 그레이,0,,
2026-08-03T11:19:37,20265423,더 드라마,0,,
2026-08-03T14:19:36,20204641,비광,0,,
2026-08-03T14:19:36,20264918,싱 어게인,0,,
2026-08-03T14:19:36,20265146,옵세션,0,,
2026-08-03T14:19:36,20264915,딥 워터,0,,
2026-08-03T14:19:36,20265573,인 더 그레이,0,,
2026-08-03T14:19:36,20265423,더 드라마,0,,
2026-08-03T15:19:36,20204641,비광,0,,
2026-08-03T15:19:36,20264918,싱 어게인,0,,
2026-08-03T15:19:36,20265146,옵세션,0,,
2026-08-03T15:19:36,20264915,딥 워터,0,,
2026-08-03T15:19:36,20265573,인 더 그레이,0,,
2026-08-03T15:19:36,20265423,더 드라마,0,,
2026-08-03T16:19:36,20204641,비광,0,,
2026-08-03T16:19:36,20264918,싱 어게인,0,,
2026-08-03T16:19:36,20265146,옵세션,0,,
2026-08-03T16:19:36,20264915,딥 워터,0,,
