batch_id,date,movie_cd,movie_nm,open_dt,day_offset,seat_sell_ratio_pct,seat_occupancy_pct,seat_cnt,sales_amt,sales_amt_acc,audi_cnt,audi_cnt_acc
pg15_2025,20260726,20261467,시크릿 에이전트,20260708,18,24.6,0.1,2415,6094950,171652270,594,16101
pg15_2025,20260727,20261467,시크릿 에이전트,20260708,19,13.5,0.2,2797,3418450,175070720,377,16478
pg15_2025,20260728,20261467,시크릿 에이전트,20260708,20,7.0,0.1,2115,1285500,176356220,147,16625
pg15_2025,20260318,20261804,폭탄,20260318,0,10.6,2.0,35834,26120100,35724100,3783,5155
pg15_2025,20260319,20261804,폭탄,20260318,1,8.9,2.0,36084,21949100,57673200,3194,8349
pg15_2025,20260320,20261804,폭탄,20260318,2,8.2,1.8,35475,22589900,80263100,2918,11267
pg15_2025,20260321,20261804,폭탄,20260318,3,12.3,1.4,30250,30445800,110708900,3707,14974
pg15_2025,20260322,20261804,폭탄,20260318,4,12.6,1.4,28990,28625600,139334500,3640,18614
pg15_2025,20260323,20261804,폭탄,20260318,5,3.1,1.7,28685,8972700,148307200,895,19509
pg15_2025,20260324,20261804,폭탄,20260318,6,3.2,1.6,27367,8619900,156927100,876,20385
pg15_2025,20260325,20261804,폭탄,20260318,7,6.5,1.2,20995,9499000,166426100,1374,21759
pg15_2025,20260326,20261804,폭탄,20260318,8,6.6,1.3,21723,9784900,176211000,1433,23192
pg15_2025,20260327,20261804,폭탄,20260318,9,7.3,0.8,15824,8434400,184645400,1152,24344
pg15_2025,20260328,20261804,폭탄,20260318,10,13.4,0.7,13680,15012700,199658100,1833,26177
pg15_2025,20260329,20261804,폭탄,20260318,11,14.0,0.7,13743,13473900,213132000,1924,28101
pg15_2025,20260330,20261804,폭탄,20260318,12,2.9,0.8,13514,3814800,216946800,393,28494
pg15_2025,20260331,20261804,폭탄,20260318,13,2.7,0.8,13521,3516900,220463700,364,28858
pg15_2025,20260401,20261804,폭탄,20260318,14,2.6,0.3,5492,1454350,221918050,145,29003
pg15_2025,20260402,20261804,폭탄,20260318,15,2.5,0.3,4852,1251450,223169500,123,29126
pg15_2025,20260403,20261804,폭탄,20260318,16,2.7,0.3,6120,1702400,224871900,165,29291
pg15_2025,20260404,20261804,폭탄,20260318,17,7.9,0.2,4759,4129500,229001400,376,29667
pg15_2025,20260405,20261804,폭탄,20260318,18,6.1,0.2,4773,3110250,232111650,291,29958
pg15_2025,20260406,20261804,폭탄,20260318,19,2.6,0.3,4157,1085400,233197050,108,30066
pg15_2025,20260407,20261804,폭탄,20260318,20,2.1,0.3,4672,995650,234192700,100,30166
pg15_2025,20260408,20262343,크라임 101,20260408,0,6.6,3.0,53148,23454460,31086460,3513,4025
pg15_2025,20260409,20262343,크라임 101,20260408,1,4.5,2.7,48250,15062860,46149320,2161,6186
pg15_2025,20260410,20262343,크라임 101,20260408,2,4.7,2.7,51087,17704430,63853750,2409,8595
pg15_2025,20260411,20262343,크라임 101,20260408,3,8.1,2.0,41604,24338670,88192420,3351,11946
pg15_2025,20260412,20262343,크라임 101,20260408,4,6.3,2.1,41980,18693220,106885640,2623,14569
pg15_2025,20260413,20262343,크라임 101,20260408,5,3.7,2.1,34960,8075580,114961220,1299,15868
pg15_2025,20260414,20262343,크라임 101,20260408,6,5.0,2.2,37246,10339850,125301070,1878,17746
pg15_2025,20260415,20262343,크라임 101,20260408,7,3.9,0.7,12134,3220900,128521970,476,18222
pg15_2025,20260416,20262343,크라임 101,20260408,8,3.5,0.5,9536,2768500,131290470,334,18556
pg15_2025,20260417,20262343,크라임 101,20260408,9,2.3,0.5,9598,2051570,133342040,221,18777
pg15_2025,20260418,20262343,크라임 101,20260408,10,2.7,0.5,10335,2378300,135720340,280,19057
pg15_2025,20260419,20262343,크라임 101,20260408,11,2.6,0.5,10232,2395070,138115410,270,19327
pg15_2025,20260420,20262343,크라임 101,20260408,12,2.6,0.4,5962,1163000,139278410,154,19481
pg15_2025,20260421,20262343,크라임 101,20260408,13,1.8,0.4,6643,1059600,140338010,118,19599
pg15_2025,20260422,20262343,크라임 101,20260408,14,12.3,0.0,620,493500,140831510,76,19675
pg15_2025,20260423,20262343,크라임 101,20260408,15,4.9,0.0,553,177500,141009010,27,19702
pg15_2025,20260424,20262343,크라임 101,20260408,16,4.5,0.0,642,201500,141210510,29,19731
pg15_2025,20260425,20262343,크라임 101,20260408,17,5.5,0.0,569,248000,141458510,31,19762
pg15_2025,20260426,20262343,크라임 101,20260408,18,4.4,0.0,546,181600,141640110,24,19786
pg15_2025,20260427,20262343,크라임 101,20260408,19,2.3,0.0,657,127800,141767910,15,19801
pg15_2025,20260428,20262343,크라임 101,20260408,20,3.9,0.0,721,205000,141972910,28,19829
pg15_2025,20260415,20262383,쉘터,20260415,0,11.0,1.9,34498,25533300,25533300,3789,3789
pg15_2025,20260416,20262383,쉘터,20260415,1,8.5,1.9,33320,18448800,43982100,2840,6629
pg15_2025,20260417,20262383,쉘터,20260415,2,7.5,1.6,30426,16216800,60198900,2291,8920
pg15_2025,20260418,20262383,쉘터,20260415,3,11.2,1.3,27856,22799600,82998500,3125,12045
pg15_2025,20260419,20262383,쉘터,20260415,4,11.3,1.4,28995,22517350,105515850,3286,15331
pg15_2025,20260420,20262383,쉘터,20260415,5,3.3,1.5,25917,7082200,112598050,851,16182
pg15_2025,20260421,20262383,쉘터,20260415,6,6.2,1.7,27826,11131850,123729900,1714,17896
pg15_2025,20260422,20262383,쉘터,20260415,7,6.6,0.4,7739,3856200,127586100,514,18410
pg15_2025,20260423,20262383,쉘터,20260415,8,7.5,0.4,6687,2976950,130563050,500,18910
pg15_2025,20260424,20262383,쉘터,20260415,9,8.7,0.3,6754,4012550,134575600,588,19498
pg15_2025,20260425,20262383,쉘터,20260415,10,8.5,0.3,6225,3842550,138418150,531,20029
pg15_2025,20260426,20262383,쉘터,20260415,11,9.7,0.3,6204,4145600,142563750,604,20633
pg15_2025,20260427,20262383,쉘터,20260415,12,9.3,0.4,6683,3727600,146291350,618,21251
pg15_2025,20260428,20262383,쉘터,20260415,13,2.5,0.3,5643,1285450,147576800,140,21391
pg15_2025,20260429,20262383,쉘터,20260415,14,2.3,0.1,2594,550200,148127000,60,21451
pg15_2025,20260430,20262383,쉘터,20260415,15,3.9,0.1,2043,566800,148693800,79,21530
pg15_2025,20260501,20262383,쉘터,20260415,16,3.4,0.1,1606,524700,149218500,54,21584
pg15_2025,20260502,20262383,쉘터,20260415,17,3.1,0.1,1353,369150,149587650,42,21626
pg15_2025,20260503,20262383,쉘터,20260415,18,4.9,0.0,971,505000,150092650,48,21674
pg15_2025,20260504,20262383,쉘터,20260415,19,3.0,0.1,1339,421400,150514050,40,21714
pg15_2025,20260505,20262383,쉘터,20260415,20,4.6,0.0,1230,561550,151075600,57,21771
pg15_2025,20260527,20263030,백룸,20260527,0,29.8,9.2,181416,527833890,535603890,54103,54631
pg15_2025,20260528,20263030,백룸,20260527,1,17.4,9.9,191556,362902140,898506030,33233,87864
pg15_2025,20260529,20263030,백룸,20260527,2,27.4,10.1,210624,657402110,1555908140,57805,145669
pg15_2025,20260530,20263030,백룸,20260527,3,51.5,11.3,257093,1442411690,2998319830,132437,278106
pg15_2025,20260531,20263030,백룸,20260527,4,40.1,13.0,281548,1207138430,4205458260,112952,391058
pg15_2025,20260601,20263030,백룸,20260527,5,10.8,14.1,264787,297731370,4503189630,28523,419581
pg15_2025,20260602,20263030,백룸,20260527,6,13.4,14.6,292090,399877380,4903067010,39057,458638
pg15_2025,20260603,20263030,백룸,20260527,7,42.4,11.8,269062,1189241000,6092308010,114102,572740
pg15_2025,20260604,20263030,백룸,20260527,8,11.2,12.2,241721,278092200,6370400210,27071,599811
pg15_2025,20260605,20263030,백룸,20260527,9,13.8,13.2,282204,421418940,6791819150,38942,638753
pg15_2025,20260606,20263030,백룸,20260527,10,28.8,13.7,322816,986139400,7777958550,93068,731821
pg15_2025,20260607,20263030,백룸,20260527,11,22.5,13.6,301832,720664040,8498622590,67802,799623
pg15_2025,20260608,20263030,백룸,20260527,12,6.7,14.2,264694,186738060,8685360650,17838,817461
pg15_2025,20260609,20263030,백룸,20260527,13,6.2,14.0,259280,168838540,8854199190,16153,833614
pg15_2025,20260610,20263030,백룸,20260527,14,8.6,10.8,206751,169899810,9024099000,17742,851356
pg15_2025,20260611,20263030,백룸,20260527,15,7.7,11.0,207619,167785510,9191884510,15969,867325
pg15_2025,20260612,20263030,백룸,20260527,16,10.1,11.1,216432,242156280,9434040790,21808,889133
pg15_2025,20260613,20263030,백룸,20260527,17,21.1,10.6,231826,528292790,9962333580,48817,937950
pg15_2025,20260614,20263030,백룸,20260527,18,17.2,10.4,222043,410464720,10372798300,38107,976057
pg15_2025,20260615,20263030,백룸,20260527,19,6.4,10.5,185745,127343160,10500141460,11897,987954
pg15_2025,20260616,20263030,백룸,20260527,20,6.5,10.6,187184,131852560,10631994020,12240,1000194
pg15_2025,20260701,20263530,마티 슈프림,20260701,0,9.4,11.0,213178,193904300,217160300,19984,21401
pg15_2025,20260702,20263530,마티 슈프림,20260701,1,5.3,10.4,197020,103410000,320570300,10360,31761
pg15_2025,20260703,20263530,마티 슈프림,20260701,2,5.7,9.1,185329,112328290,432898590,10570,42331
pg15_2025,20260704,20263530,마티 슈프림,20260701,3,9.9,6.6,151947,165139780,598038370,15083,57414
pg15_2025,20260705,20263530,마티 슈프림,20260701,4,9.2,6.4,140355,142326980,740365350,12848,70262
pg15_2025,20260706,20263530,마티 슈프림,20260701,5,3.8,8.1,143858,57034710,797400060,5506,75768
pg15_2025,20260707,20263530,마티 슈프림,20260701,6,3.9,8.0,142260,56279800,853679860,5542,81310
pg15_2025,20260708,20263530,마티 슈프림,20260701,7,14.3,1.4,26270,36736850,890416710,3757,85067
pg15_2025,20260709,20263530,마티 슈프림,20260701,8,10.6,1.4,25799,30434700,920851410,2737,87804
pg15_2025,20260710,20263530,마티 슈프림,20260701,9,13.9,1.2,25358,39670100,960521510,3526,91330
pg15_2025,20260711,20263530,마티 슈프림,20260701,10,24.9,1.0,23573,71051950,1031573460,5870,97200
pg15_2025,20260712,20263530,마티 슈프림,20260701,11,23.3,1.0,21015,54726100,1086299560,4890,102090
pg15_2025,20260713,20263530,마티 슈프림,20260701,12,12.0,1.4,24605,33420950,1119720510,2961,105051
pg15_2025,20260714,20263530,마티 슈프림,20260701,13,11.3,1.6,27513,34668400,1154388910,3118,108169
pg15_2025,20260715,20263530,마티 슈프림,20260701,14,15.5,0.5,8917,17953900,1172342810,1386,109555
pg15_2025,20260716,20263530,마티 슈프림,20260701,15,19.2,0.4,8724,17750400,1190093210,1678,111233
pg15_2025,20260717,20263530,마티 슈프림,20260701,16,21.1,0.4,9637,22218970,1212312180,2034,113267
pg15_2025,20260718,20263530,마티 슈프림,20260701,17,22.8,0.4,9151,28178650,1240490830,2086,115353
pg15_2025,20260719,20263530,마티 슈프림,20260701,18,21.1,0.4,8196,21355450,1261846280,1730,117083
pg15_2025,20260720,20263530,마티 슈프림,20260701,19,10.7,0.5,8215,9671350,1271517630,881,117964
pg15_2025,20260721,20263530,마티 슈프림,20260701,20,11.7,0.4,6998,8463100,1279980730,815,118779
pg15_2025,20260701,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,0,7.1,2.0,38269,21663400,22825400,2718,2884
pg15_2025,20260702,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,1,4.8,2.0,36865,14805300,37630700,1779,4663
pg15_2025,20260703,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,2,5.6,1.6,32808,16944100,54574800,1848,6511
pg15_2025,20260704,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,3,9.6,1.3,30541,28219350,82794150,2945,9456
pg15_2025,20260705,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,4,7.9,1.3,29072,22527600,105321750,2293,11749
pg15_2025,20260706,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,5,3.5,1.6,27392,9366350,114688100,964,12713
pg15_2025,20260707,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,6,3.4,1.5,26491,8630850,123318950,899,13612
pg15_2025,20260708,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,7,5.8,0.6,12680,7434800,130753750,739,14351
pg15_2025,20260709,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,8,4.0,0.7,12685,5650100,136403850,506,14857
pg15_2025,20260710,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,9,4.3,0.6,11413,5608450,142012300,491,15348
pg15_2025,20260711,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,10,8.1,0.5,11478,10733050,152745350,928,16276
pg15_2025,20260712,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,11,5.7,0.5,10555,7118300,159863650,604,16880
pg15_2025,20260713,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,12,3.7,0.5,9407,3904650,163768300,345,17225
pg15_2025,20260714,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,13,3.0,0.5,8915,2902800,166671100,269,17494
pg15_2025,20260716,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,15,3.4,0.0,59,13000,166684100,2,17496
pg15_2025,20260717,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,16,10.7,0.0,56,41000,166725100,6,17502
pg15_2025,20260718,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,17,1.7,0.0,59,7000,166732100,1,17503
pg15_2025,20260719,20264569,레디 오어 낫: 죽음의 숨바꼭질,20260701,18,8.8,0.0,68,41000,166773100,6,17509
