batch_id,date,movie_cd,movie_nm,open_dt,day_offset,seat_sell_ratio_pct,seat_occupancy_pct,seat_cnt,sales_amt,sales_amt_acc,audi_cnt,audi_cnt_acc
r18_2025,20250517,20254466,위드 러브,20250514,3,1.8,0.1,1872,282960,22168660,34,3108
r18_2025,20250518,20254466,위드 러브,20250514,4,1.3,0.2,2963,317100,22485760,39,3147
r18_2025,20250519,20254466,위드 러브,20250514,5,1.1,0.2,2824,254100,22739860,30,3177
r18_2025,20250520,20254466,위드 러브,20250514,6,1.7,0.2,2791,403000,23142860,48,3225
r18_2025,20250521,20254466,위드 러브,20250514,7,2.6,0.0,349,76000,23218860,9,3234
r18_2025,20250522,20254466,위드 러브,20250514,8,2.8,0.0,179,35800,23254660,5,3239
r18_2025,20250523,20254466,위드 러브,20250514,9,1.1,0.0,175,18000,23272660,2,3241
r18_2025,20250524,20254466,위드 러브,20250514,10,1.6,0.0,312,44000,23316660,5,3246
r18_2025,20250525,20254466,위드 러브,20250514,11,1.2,0.0,423,45500,23362160,5,3251
r18_2025,20250526,20254466,위드 러브,20250514,12,0.7,0.0,154,9000,23371160,1,3252
r18_2025,20250527,20254466,위드 러브,20250514,13,1.0,0.0,288,27000,23398160,3,3255
r18_2025,20250528,20254602,씨너스: 죄인들,20250528,0,5.8,10.1,180294,95263860,126298860,10479,12436
r18_2025,20250529,20254602,씨너스: 죄인들,20250528,1,3.3,9.2,159080,56381840,182680700,5250,17686
r18_2025,20250530,20254602,씨너스: 죄인들,20250528,2,4.9,4.3,92102,55439680,238120380,4469,22155
r18_2025,20250531,20254602,씨너스: 죄인들,20250528,3,10.3,3.1,72447,93446480,331566860,7490,29645
r18_2025,20250601,20254602,씨너스: 죄인들,20250528,4,9.2,3.1,69420,76730250,408297110,6351,35996
r18_2025,20250602,20254602,씨너스: 죄인들,20250528,5,6.2,3.3,70007,47404510,455701620,4317,40313
r18_2025,20250603,20254602,씨너스: 죄인들,20250528,6,11.3,2.5,57227,77398000,533099620,6480,46793
r18_2025,20250604,20254602,씨너스: 죄인들,20250528,7,6.2,1.8,35499,24943740,558043360,2202,48995
r18_2025,20250605,20254602,씨너스: 죄인들,20250528,8,9.6,1.7,35842,39759820,597803180,3456,52451
r18_2025,20250606,20254602,씨너스: 죄인들,20250528,9,26.0,0.3,8228,21694400,619497580,2136,54587
r18_2025,20250607,20254602,씨너스: 죄인들,20250528,10,29.6,0.2,5955,18266200,637763780,1762,56349
r18_2025,20250608,20254602,씨너스: 죄인들,20250528,11,20.3,0.3,6759,13979000,651742780,1373,57722
r18_2025,20250609,20254602,씨너스: 죄인들,20250528,12,10.8,0.5,9005,9822700,661565480,972,58694
r18_2025,20250610,20254602,씨너스: 죄인들,20250528,13,8.6,0.6,11678,10002420,671567900,1008,59702
r18_2025,20250611,20254602,씨너스: 죄인들,20250528,14,7.6,0.7,13084,10752580,682320480,999,60701
r18_2025,20250612,20254602,씨너스: 죄인들,20250528,15,7.9,0.6,12248,10074390,692394870,966,61667
r18_2025,20250613,20254602,씨너스: 죄인들,20250528,16,9.6,0.7,13620,14626260,707021130,1313,62980
r18_2025,20250614,20254602,씨너스: 죄인들,20250528,17,16.2,0.6,13024,26469140,733490270,2111,65091
r18_2025,20250615,20254602,씨너스: 죄인들,20250528,18,14.7,0.6,13278,23842560,757332830,1945,67036
r18_2025,20250616,20254602,씨너스: 죄인들,20250528,19,5.9,0.8,13433,8755800,766088630,788,67824
r18_2025,20250617,20254602,씨너스: 죄인들,20250528,20,6.4,0.8,14806,10812800,776901430,951,68775
r18_2025,20250820,20255937,어글리 시스터,20250820,0,10.3,2.4,48541,45932400,47332400,5011,5211
r18_2025,20250821,20255937,어글리 시스터,20250820,1,6.8,2.2,44000,28578700,75911100,3001,8212
r18_2025,20250822,20255937,어글리 시스터,20250820,2,10.4,1.2,24327,26733200,102644300,2531,10743
r18_2025,20250823,20255937,어글리 시스터,20250820,3,18.0,1.0,22501,43275200,145919500,4058,14801
r18_2025,20250824,20255937,어글리 시스터,20250820,4,13.1,1.0,20380,27887900,173807400,2667,17468
r18_2025,20250825,20255937,어글리 시스터,20250820,5,6.0,1.3,24922,15494200,189301600,1493,18961
r18_2025,20250826,20255937,어글리 시스터,20250820,6,5.9,1.3,24588,15230600,204532200,1453,20414
r18_2025,20250827,20255937,어글리 시스터,20250820,7,22.9,0.5,9570,15950600,220482800,2191,22605
r18_2025,20250828,20255937,어글리 시스터,20250820,8,13.7,0.5,10781,11654300,232137100,1476,24081
r18_2025,20250829,20255937,어글리 시스터,20250820,9,12.4,0.5,10370,11494200,243631300,1290,25371
r18_2025,20250830,20255937,어글리 시스터,20250820,10,20.1,0.4,8206,16801800,260433100,1650,27021
r18_2025,20250831,20255937,어글리 시스터,20250820,11,17.4,0.4,7907,13307900,273741000,1377,28398
r18_2025,20250901,20255937,어글리 시스터,20250820,12,5.5,0.6,9973,5669500,279410500,550,28948
r18_2025,20250902,20255937,어글리 시스터,20250820,13,5.4,0.5,9532,5653600,285064100,517,29465
r18_2025,20250903,20255937,어글리 시스터,20250820,14,6.6,0.2,4486,2888600,287952700,294,29759
r18_2025,20250904,20255937,어글리 시스터,20250820,15,7.1,0.2,3922,2700100,290652800,278,30037
r18_2025,20250905,20255937,어글리 시스터,20250820,16,5.6,0.2,3150,1868800,292521600,177,30214
r18_2025,20250906,20255937,어글리 시스터,20250820,17,10.9,0.1,2801,3232900,295754500,306,30520
r18_2025,20250907,20255937,어글리 시스터,20250820,18,8.3,0.1,2221,1966900,297721400,184,30704
r18_2025,20250908,20255937,어글리 시스터,20250820,19,5.8,0.2,2584,1668800,299390200,151,30855
r18_2025,20250909,20255937,어글리 시스터,20250820,20,5.7,0.2,3250,2024900,301415100,186,31041
r18_2025,20250827,20256202,노바디2,20250827,0,15.3,5.5,111456,128823800,156991800,17097,21121
r18_2025,20250828,20256202,노바디2,20250827,1,4.6,4.8,94298,40405300,197397100,4290,25411
r18_2025,20250829,20256202,노바디2,20250827,2,5.3,4.6,95722,51100300,248497400,5032,30443
r18_2025,20250830,20256202,노바디2,20250827,3,10.9,3.6,78293,85923700,334421100,8519,38962
r18_2025,20250831,20256202,노바디2,20250827,4,9.9,3.4,71871,69913400,404334500,7082,46044
r18_2025,20250901,20256202,노바디2,20250827,5,3.7,4.0,72542,25009400,429343900,2657,48701
r18_2025,20250902,20256202,노바디2,20250827,6,3.8,4.0,71218,25001900,454345800,2668,51369
r18_2025,20250903,20256202,노바디2,20250827,7,3.8,1.9,35100,11984300,466330100,1329,52698
r18_2025,20250904,20256202,노바디2,20250827,8,3.9,1.7,30960,10973700,477303800,1200,53898
r18_2025,20250905,20256202,노바디2,20250827,9,3.9,1.3,24950,9629200,486933000,968,54866
r18_2025,20250906,20256202,노바디2,20250827,10,6.7,0.9,19135,11868800,498801800,1276,56142
r18_2025,20250907,20256202,노바디2,20250827,11,5.9,0.8,17382,9821800,508623600,1033,57175
r18_2025,20250908,20256202,노바디2,20250827,12,2.5,0.9,15566,3717700,512341300,396,57571
r18_2025,20250909,20256202,노바디2,20250827,13,2.7,0.9,15678,4008800,516350100,424,57995
